Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Detailed Fields","Biological and biomedical sciences"

"<Detailed Fields>","Biological and biomedical sciences",
"<measures>","Doctorate Recipients by Doctorate Institution",
"[Year]",
"2017","8,477",
"2016","8,873",
"2015","8,788",
"2014","8,868",
"2013","8,355",
"2012","8,322",
"2011","8,152",
"2010","8,046",
"2009","8,025",
"2008","7,797",
"2007","7,238",
"2006","6,652",
"2005","6,367",
"2004","5,940",
"2003","5,696",
"2002","5,695",
"2001","5,697",
"2000","5,853",
"1999","5,581",
"1998","5,846",
"1997","5,788",
"1996","5,724",
"1995","5,376",
"1994","5,203",
"1993","5,092",
"1992","4,799",
"1991","4,649",
"1990","4,328",
"1989","4,116",
"1988","4,111",
"1987","3,839",
"1986","3,807",
"1985","3,793",
"1984","3,880",
"1983","3,741",
"1982","3,893",
"1981","3,803",
"1980","3,803",
"1979","3,646",
"1978","3,516",
"1977","3,484",
"1976","3,573",
"1975","3,497",
"1974","3,484",
"1973","3,648",
"1972","3,600",
"1971","3,654",
"1970","3,361",
"1969","3,092",
"1968","2,827",
"1967","2,360",
"1966","2,135",
"1965","1,963",
"1964","1,702",
"1963","1,510",
"1962","1,397",
"1961","1,244",
"1960","1,246",
"1959","1,140",
"1958","1,201",


NOTES:,

"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Survey of Earned Doctorates."
Downloaded 2019/03/16 at 05:43:30 AM EST,
